rank,name,position,team,tier
1,Saquon Barkley,RB,,
2,Bijan Robinson,RB,,
3,Christian McCaffrey,RB,,
4,Jahmyr Gibbs,RB,,
5,Ja'Marr Chase,WR,,
6,Puka Nacua,WR,,
7,Justin Jefferson,WR,,
8,Malik Nabers,WR,,
9,De'Von Achane,RB,,
10,Jonathan Taylor,RB,,
11,Chase Brown,RB,,
12,Mike Evans,WR,,
13,Derrick Henry,RB,,
14,Drake London,WR,,
15,CeeDee Lamb,WR,,
16,Bucky Irving,RB,,
17,Ashton Jeanty,RB,,
18,Brian Thomas Jr.,WR,,
19,James Conner,RB,,
20,Josh Jacobs,RB,,
22,Chuba Hubbard,RB,,
23,Kyren Williams,RB,,
24,Alvin Kamara,RB,,
25,Nico Collins,WR,,
27,Jaxon Smith-Njigba,WR,,
28,Kenneth Walker III,RB,,
29,James Cook,RB,,
30,Xavier Worthy,WR,,
31,Tee Higgins,WR,,
32,Trey McBride,TE,,
